FFHQ Images MANIQA: 0.27977246791124344 | NIQE: 6.512768915933739
FFHQ Images MANIQA: 0.33462618850171566 | NIQE: 6.389367850411059
FFHQ Images MANIQA: 0.33470827993005514 | NIQE: 5.911002349112566
FFHQ Images MANIQA: 0.30360780470073223 | NIQE: 5.907505166630734
FFHQ Images MANIQA: 0.3288361094892025 | NIQE: 5.407128345356221
FFHQ Images MANIQA: 0.31082234159111977 | NIQE: 5.644699913247183
FFHQ Images MANIQA: 0.33330900222063065 | NIQE: 6.297946843072036
FFHQ Images MANIQA: 0.29554980620741844 | NIQE: 5.759779866267551
FFHQ Images MANIQA: 0.27800215780735016 | NIQE: 5.76194682660461
FFHQ Images MANIQA: 0.3174521019682288 | NIQE: 5.552019547106594
FFHQ Images MANIQA: 0.34247108176350594 | NIQE: 6.061971753891602
FFHQ Images MANIQA: 0.3254822287708521 | NIQE: 7.1556420331009205
FFHQ Images MANIQA: 0.3345398847013712 | NIQE: 6.043562947310875
